-450291-0	333.333333333333	X	X
1001653-2096799-0	322.58064516129	X	X
1006385-2106456-0	315.789473684211	X	X
100931-542442-0	405.405405405405	X	X
1011011-2116202-0	461.538461538462	X	X
1011573-2117268-0	312.5	X	X
1011573-2117268-275377	312.5	X	X
101188-268272-0	461.538461538462	X	X
1020429-2143040-0	336.68144324112	X	X
1020429-2143040-23930	336.68144324112	X	X
1022393-2154520-0	322.58064516129	X	X
1022787-2146288-0	645.161290322581	X	X
1022787-2146288-20659	322.58064516129	X	X
1032163-2185535-0	352.88928098809	X	X
103372-333080-0	333.333333333333	X	X
103372-333080-125010	333.333333333333	X	X
1034008-2161929-0	300	X	X
1034108-2182483-0	594.059405940594	X	X
1035110-2164190-0	322.58064516129	X	X
10353-0-0	0	X	X
10368-0-0	0	X	X
1041518-2184660-0	359.281437125748	X	X
10435-0-0	0	X	X
105350-276588-0	405.405405405405	X	X
105350-276588-62253	405.405405405405	X	X
1054045-2202493-0	333.333333333333	X	X
1054045-2202493-203420	413.793103448276	X	X
1054045-2202493-380556	333.333333333333	X	X
1057368-2210068-0	389.61038961039	X	X
1058282-2361078-0	405.405405405405	X	X
106010-278273-0	240	X	X
1065214-2230617-0	468.75	X	X
1065214-2230617-127816	351.906158357771	X	X
1065214-2230617-157840	468.75	X	X
1065595-2231626-0	601.805416248746	X	X
1073023-0-0	387.096774193548	X	X
107644-281989-0	382.165605095541	X	X
1076622-2252784-155043	375	X	X
1076622-2252784-352527	1621.62162162162	X	X
1076622-2252784-74047	750	X	X
1078668-2256987-0	428.571428571429	X	X
1079510-2258534-0	352.941176470588	X	X
1079510-2258534-144243	386.676454720617	X	X
1079510-2258534-222350	387.606206360516	X	X
1079510-2258534-268087	443.131462333826	X	X
1079510-2258534-287141	446.671462333826	X	X
1079510-2258534-30150	352.941176470588	X	X
1079510-2258534-94664	387.366454720617	X	X
1083775-2266575-0	508.474576271186	X	X
1086389-2271873-0	350.877192982456	X	X
1092562-2283853-100666	645.161290322581	X	X
1092562-2283853-167762	645.161290322581	X	X
1092562-2283853-190988	645.161290322581	X	X
1092562-2283853-214215	645.161290322581	X	X
1092562-2283853-23249	645.161290322581	X	X
1092562-2283853-46474	645.161290322581	X	X
1093127-2284898-0	365.820199372009	X	X
1093562-2286572-12608	375	X	X
109401-302493-0	294.117647058824	X	X
1094931-2607920-0	441.176470588235	X	X
1095969-2342086-0	512.820512820513	X	X
1098181-2321761-0	413.793103448276	X	X
1098181-2321761-203260	689.655172413793	X	X
110126-311665-0	363.636363636364	X	X
110126-311665-62154	363.636363636364	X	X
1101591-2303247-0	312.5	X	X
110557-287979-0	427.651976821263	X	X
1107950-2315562-0	338.983050847458	X	X
1107950-2315562-119901	338.983050847458	X	X
1107950-2315562-86003	338.983050847458	X	X
111045-310385-0	324.324324324324	X	X
111045-310385-111666	324.324324324324	X	X
111045-310385-44856	324.324324324324	X	X
1111107-2384692-0	566.037735849057	X	X
1111107-2384692-262195	566.037735849057	X	X
1111295-2361060-0	342.857142857143	X	X
1114556-2328228-0	350.877192982456	X	X
111760-290581-0	344.827586206897	X	X
1118283-2335871-0	370.37037037037	X	X
1118726-2346547-0	394.736842105263	X	X
112037-294729-0	454.545454545455	X	X
1121120-2342557-0	312.5	X	X
1121120-2342557-333029	750	X	X
1121120-2342557-428622	312.5	X	X
112408-292006-0	346.820809248555	X	X
112651-305259-0	369.230769230769	X	X
1126845-2354365-0	472.44094488189	X	X
112941-293193-0	392.156862745098	X	X
11322-0-0	0	X	X
113458-979405-0	300	X	X
11375-0-0	0	X	X
114220-948371-0	337.078651685393	X	X
114987-297668-0	315.789473684211	X	X
11499-0-0	0	X	X
115011-300183-0	521.739130434783	X	X
115193-347745-0	375	X	X
1155295-2410950-0	288.461538461538	X	X
11558-0-0	0	X	X
1156409-2465709-26555	594.059405940594	X	X
1156409-2465709-715	594.059405940594	X	X
1158202-2417097-0	315.789473684211	X	X
1159718-2419834-0	340.909090909091	X	X
1164270-2428685-0	400	X	X
1167380-2435698-0	566.037735849057	X	X
1167380-2435698-214103	566.037735849057	X	X
1167380-2435698-261643	564.440263405456	X	X
1167380-2435698-275190	566.037735849057	X	X
1167380-2435698-291072	566.037735849057	X	X
1170512-2441822-0	483.870967741935	X	X
1171923-2444391-0	400	X	X
1173332-2452646-0	300	X	X
1173332-2452646-60030	600	X	X
11775-0-0	0	X	X
117869-303489-0	191.082802547771	X	X
1181343-2535687-0	352.941176470588	X	X
11841-0-0	0	X	X
118687-305009-0	405.405405405405	X	X
118763-430110-0	300	X	X
118763-430110-101564	300	X	X
118763-430110-139964	300	X	X
118763-430110-36167	300	X	X
118763-430110-50853	300	X	X
118763-430110-75694	300	X	X
1187931-2475581-0	342.857142857143	X	X
1194377-2641000-0	344.827586206897	X	X
119447-307289-0	282.992170549948	X	X
119467-306725-0	447.761194029851	X	X
119779-307412-0	416.666666666667	X	X
119990-307831-0	405.405405405405	X	X
120058-307981-0	300	X	X
1202320-2515388-0	375	X	X
1202320-2515388-16373	307.692307692308	X	X
12026-0-0	0	X	X
1213131-2524879-0	355.029585798817	X	X
1213131-2524879-167196	355.029585798817	X	X
1213131-2524879-73469	355.029585798817	X	X
121662-315741-0	300	X	X
12216-0-0	0	X	X
1224414-2567311-0	545.454545454546	X	X
122605-315260-13273	300	X	X
122605-315260-178873	300	X	X
122605-315260-205273	300	X	X
122605-315260-2473.52634123162	300	X	X
122605-315260-81673	300	X	X
1229471-2563913-0	310.880829015544	X	X
1233402-2564107-0	342.857142857143	X	X
1235110-2701875-0	454.545454545455	X	X
123593-315552-0	451.127819548872	X	X
12377-0-0	0	X	X
123839-344619-0	422.535211267606	X	X
1238759-2608001-0	461.538461538462	X	X
124857-318052-0	468.75	X	X
125079-318562-0	342.857142857143	X	X
1253246-2651508-0	331.491712707182	X	X
125511-319499-0	272.727272727273	X	X
125511-319499-165873	272.727272727273	X	X
125843-620303-0	400	X	X
125843-620303-26701	250	X	X
1259273-2617769-0	333.333333333333	X	X
126157-320712-0	300	X	X
1265315-2629667-0	361.44578313253	X	X
126628-321668-0	400	X	X
1270122-2640465-0	300	X	X
1273378-2646064-0	428.571428571429	X	X
1274974-2649160-0	352.941176470588	X	X
1274974-2649160-17488	352.941176470588	X	X
1276862-2654115-0	434.782608695652	X	X
127712-323769-0	428.571428571429	X	X
1280436-2659781-0	333.333333333333	X	X
1280436-2659781-109900	363.636363636364	X	X
1280436-2659781-143493	631.578947368421	X	X
1280436-2659781-15123	400	X	X
1280436-2659781-161162	631.578947368421	X	X
1280436-2659781-226961	363.636363636364	X	X
1280436-2659781-237142	375	X	X
1280436-2659781-291162	400	X	X
1280436-2659781-304762	400	X	X
1280436-2659781-52713	363.636363636364	X	X
1280436-2659781-73355	375	X	X
1281273-2661270-0	357.142857142857	X	X
1281581-2661970-0	363.636363636364	X	X
128223-499708-0	337.078651685393	X	X
1285462-2668989-0	300	X	X
128652-325674-0	348.837209302326	X	X
1287-0-0	0	X	X
12892-0-0	0	X	X
128931-847316-0	342.857142857143	X	X
1295855-2688681-0	333.333333333333	X	X
129676-327526-0	631.578947368421	X	X
129676-327526-163162	631.578947368421	X	X
129676-327526-173266	315.789473684211	X	X
1301735-2699986-0	454.545454545455	X	X
130308-328748-0	550.45871559633	X	X
13094-0-0	0	X	X
131854-345413-0	413.793103448276	X	X
132044-469566-0	405.405405405405	X	X
1323207-2916911-0	294.117647058824	X	X
133245-344278-0	285.714285714286	X	X
133278-334760-0	714.370758423622	X	X
133278-334760-160785	697.755552971276	X	X
133278-334760-245061	526.315789473684	X	X
133278-334760-261903	263.157894736842	X	X
133278-334760-329177	697.674418604651	X	X
133278-334760-49158	348.837209302326	X	X
133440-335041-142677	222.222222222222	X	X
133440-335041-23581	222.222222222222	X	X
133440-335041-73349	222.222222222222	X	X
134203-336701-0	588.235294117647	X	X
135058-446215-0	363.636363636364	X	X
135058-446215-118100	500	X	X
135058-446215-71464	363.636363636364	X	X
136095-340843-0	437.956204379562	X	X
13762-0-0	0	X	X
137665-368261-0	342.857142857143	X	X
138554-346020-0	714.285714285714	X	X
13887-0-0	0	X	X
138982-346988-0	344.827586206897	X	X
13953-0-0	0	X	X
1398443-2885482-0	468.75	X	X
140241-537484-0	594.059405940594	X	X
140662-351189-0	468.75	X	X
140845-358001-0	265.486725663717	X	X
140845-358001-104824	265.486725663717	X	X
141437-352756-0	428.571428571429	X	X
141437-352756-19705	333.333333333333	X	X
141437-352756-210047	387.096774193548	X	X
141437-352756-250304	387.096774193548	X	X
